Nome Famoso;Volta Mais Rápida (s);Cidade;Latitude;Longitude;Tamanho;País
Interlagos;70.540;São Paulo;-23.7012;-46.6974;4.309;Brasil
Mônaco;72.909;Monte Carlo;43.7347;7.4206;3.337;Mónaco
Spa-francochamps;104.701;Stavelot;50.3942;5.9304;7.004;Bélgica
Melbourne;79.813;Melbourne;-37.8420;144.9602;5.278;Austrália
Suzuka;90.965;Suzuka;34.8817;136.5841;5.807;Japão
Monza;80.901;Monza;45.5845;9.2744;5.79345;Itália
Imola;75.484;Imola;44.3532;11.7145;4.909;Itália
Jacarépagua;92.507;Rio de Janeiro;-22.9068;-43.1729;5.031;Brasil
Silverstone;87.097;Silverstone;52.0877;-1.0253;5.8912;Reino Unido
Abu Dhabi;85.637;Abu Dhabi;24.4975;54.6064;5.281;Emirados árabes Unidos
Goiânia;90.540;Goiânia;-16.6869;-49.2648;3.835;Brasil
Jeddah;90.734;Jeddah;21.532984;39.159653;6.174;Arábia Saudita
Bahrein;91.447;Sakhir;26.03450;50.52450;5.412;Barém
Sochi;95.761;Sirius;43.408611;39.952500;5.848;Rússia
COTA;96.169;Austin;30.26715;-97.74306;5.513;Estados Unidos
Hermanos Rodríguez;77.774;Mexico City;19.43261;-99.13321;4.304;México
Hungaroring;76.627;Mogyoród;47.59624;19.23611;4.381;Hungria
Istanbul Park;84.770;Istambul;40.844933;29.298795;5.338;Turquia
Sepang;94.080;Sepang;2.8166667;101.7333333;5.543;Malásia
Marina Bay;93.808;Singapore;1.287953;103.851784;4.927;Singapura
Portimão;78.750;Portimão;37.138287;-8.537579;4.653;Portugal
Le Mans;197.297;Le Mans;48.008224;0.209856;13.626;França
Barcelona;78.149;Montmeló;41.550;2.242;4.675;Espanha
Nordschleife;319.540;Nürburg;50.333;6.950;20.81;Alemanha
Nürburgring;88.139;Nürburg;50.333;6.950;5.148;Alemanha
Laguna Seca;68.4168;Monterey;36.603954;-121.898460;3.602;Estados Unidos
Zandvoort;71.097;Zandvoort;52.37225;4.52808;4.259;Países Baixos
Red Bull Ring;67.924;Spielberg;47.2085616;14.7996235;4.326;Áustria
Shanghai;92.238;Shanghai;31.3374472;121.2335917;5.451;China
Mount Panorama;119.2910;Bathurst;-33.420000;149.577780;6.213;Austrália
Fuji Speedway;78.426;Oyama;35.360083;138.987278;4.653;Japão
Macau;126.257;Macau;22.210928;113.552971;6.120;China
Kyalami;77.578;Joanesburgo;-26.20410;28.04731;4.261;República Sul-Africana
Daytona;93.724;Daytona Beach;29.2108;-81.0228;5.729;Estados Unidos
Jerez;83.135;Jerez de la Frontera;36.6850;-6.1260;4.428;Espanha
Brands Hatch;72.276;West Kingsdown;51.3276;0.2661;3.916;Reino Unido
